0	4583	7	7.000	0.000	A
1	4515	7	7.000	0.000	A
2	4539	7	7.000	0.000	A
3	4543	7	7.000	0.000	A
4	4543	7	7.000	0.000	A
5	4525	7	7.000	0.000	A
6	4537	7	7.000	0.000	A
7	4578	7	7.000	0.000	A
8	4506	7	7.000	0.000	A
9	4549	7	7.000	0.000	A
10	4528	7	7.000	0.000	A
11	4531	7	7.000	0.000	A
12	4555	7	7.000	0.000	A
13	4541	7	7.000	0.000	A
14	4522	7	7.000	0.000	A
15	4541	7	7.000	0.000	A
16	4520	7	7.000	0.000	A
17	4538	7	7.000	0.000	A
18	4554	7	7.000	0.000	A
19	4575	7	7.000	0.000	A
20	4526	7	7.000	0.000	A
21	4570	7	7.000	0.000	A
22	4540	7	7.000	0.000	A
23	4564	7	7.000	0.000	A
24	4519	7	7.000	0.000	A
25	4542	7	7.000	0.000	A
26	4525	7	7.000	0.015	A
27	4534	7	7.000	0.015	A
28	4534	7	7.000	0.015	A
29	4574	7	7.000	0.015	A
30	4538	7	7.000	0.015	A
31	4528	7	7.000	0.015	A
32	4539	7	7.000	0.015	A
33	4568	7	7.000	0.015	A
34	4540	7	7.000	0.000	A
35	4525	7	7.000	0.000	A
36	4539	7	7.000	0.000	A
37	4522	7	7.000	0.000	A
38	4536	7	7.000	0.000	A
39	4566	7	7.000	0.000	A
40	4524	7	7.000	0.000	A
41	4568	7	7.000	0.000	A
42	4544	7	7.000	0.000	A
43	4529	7	7.000	0.000	A
44	4555	7	7.000	0.000	A
45	4555	7	7.000	0.000	A
46	4560	7	7.000	0.000	A
47	4540	7	7.000	0.000	A
48	4547	7	7.000	0.000	A
49	4574	7	7.000	0.000	A
50	4564	7	7.000	0.000	A
51	4532	7	7.000	0.000	A
52	4544	7	7.000	0.000	A
53	4521	7	7.000	0.000	A
54	4554	6	7.000	0.015	A
55	4570	6	7.000	0.021	A
56	4518	6	7.000	0.021	A
57	4584	6	6.999	0.026	A
58	4525	6	6.999	0.026	A
59	4522	6	6.998	0.039	A
60	4534	6	6.998	0.039	A
61	4562	6	6.998	0.044	A
62	4525	6	6.997	0.051	A
63	4558	6	6.997	0.057	A
64	4557	6	6.995	0.068	A
65	4582	6	6.994	0.075	A
66	4546	6	6.993	0.084	A
67	4524	6	6.992	0.088	A
68	4575	6	6.990	0.098	A
69	4533	6	6.990	0.099	A
70	4525	6	6.989	0.106	A
71	4558	6	6.987	0.115	A
72	4526	6	6.987	0.114	A
73	4508	6	6.984	0.124	A
74	4536	6	6.984	0.127	A
75	4584	6	6.981	0.135	A
76	4552	6	6.980	0.141	A
77	4544	6	6.977	0.151	A
78	4549	6	6.976	0.154	A
79	4516	6	6.973	0.161	A
80	4545	6	6.971	0.169	A
81	4517	6	6.969	0.173	A
82	4554	6	6.966	0.182	A
83	4513	6	6.962	0.191	A
84	4533	6	6.960	0.196	A
85	4544	6	6.956	0.206	A
86	4533	6	6.952	0.214	A
87	4533	6	6.949	0.221	A
88	4576	6	6.947	0.223	A
89	4512	6	6.941	0.236	A
90	4542	6	6.936	0.245	A
91	4538	6	6.934	0.248	A
92	4546	6	6.928	0.258	A
93	4541	6	6.926	0.261	A
94	4520	6	6.919	0.272	A
95	4526	6	6.912	0.284	A
96	4572	6	6.908	0.289	A
97	4533	6	6.904	0.295	A
98	4531	6	6.899	0.301	A
99	4557	6	6.896	0.305	A
100	4538	6	6.889	0.314	A
101	4517	6	6.884	0.320	A
102	4523	6	6.877	0.328	A
103	4533	6	6.871	0.336	A
104	4540	6	6.865	0.342	A
105	4529	6	6.860	0.347	A
106	4550	6	6.855	0.354	A
107	4526	6	6.848	0.360	A
108	4522	6	6.841	0.368	A
109	4523	6	6.835	0.373	A
110	4583	6	6.831	0.376	A
111	4534	6	6.822	0.384	A
112	4556	6	6.816	0.390	A
113	4547	6	6.809	0.393	A
114	4530	6	6.801	0.400	A
115	4553	6	6.792	0.406	A
116	4558	6	6.788	0.409	A
117	4535	6	6.780	0.414	A
118	4549	6	6.768	0.422	A
119	4520	6	6.761	0.426	A
120	4578	6	6.760	0.427	A
121	4550	6	6.747	0.434	A
122	4545	6	6.746	0.435	A
123	4520	6	6.734	0.442	A
124	4551	6	6.728	0.445	A
125	4546	6	6.717	0.451	A
126	4525	6	6.708	0.455	A
127	4546	6	6.700	0.458	A
128	4544	6	6.691	0.462	A
129	4563	6	6.680	0.466	A
130	4549	6	6.672	0.470	A
131	4538	6	6.659	0.474	A
132	4531	6	6.649	0.477	A
133	4537	6	6.635	0.482	A
134	4556	6	6.630	0.483	A
135	4522	6	6.623	0.485	A
136	4565	5	6.610	0.488	A
137	4577	5	6.602	0.490	A
138	4552	5	6.593	0.492	A
139	4540	5	6.584	0.494	A
140	4493	5	6.572	0.497	A
141	4560	5	6.562	0.498	A
142	4558	5	6.552	0.502	A
143	4571	5	6.539	0.504	A
144	4555	5	6.530	0.503	A
145	4560	5	6.520	0.505	A
146	4544	5	6.508	0.507	A
147	4527	5	6.500	0.507	A
148	4535	5	6.490	0.511	A
149	4545	5	6.477	0.512	A
150	4549	5	6.465	0.514	A
151	4550	5	6.460	0.515	A
152	4541	5	6.451	0.515	A
153	4528	5	6.445	0.517	A
154	4549	5	6.432	0.518	A
155	4549	5	6.427	0.517	A
156	4538	5	6.413	0.519	A
157	4536	5	6.405	0.522	A
158	4565	5	6.398	0.521	A
159	4539	5	6.387	0.522	A
160	4517	5	6.378	0.528	A
161	4520	5	6.370	0.528	A
162	4545	5	6.358	0.530	A
163	4568	5	6.347	0.532	A
164	4617	5	6.339	0.533	A
165	4556	5	6.330	0.532	A
166	4566	5	6.319	0.535	A
167	4547	5	6.306	0.533	A
168	4542	5	6.303	0.536	A
169	4567	5	6.289	0.538	A
170	4502	5	6.276	0.539	A
171	4521	5	6.269	0.537	A
172	4545	5	6.259	0.543	A
173	4514	5	6.247	0.543	A
174	4549	5	6.235	0.543	A
175	4533	5	6.224	0.543	A
176	4530	5	6.216	0.546	A
177	4544	5	6.201	0.548	A
178	4516	5	6.194	0.544	A
179	4556	5	6.182	0.549	A
180	4534	5	6.170	0.551	A
181	4540	5	6.157	0.555	A
182	4518	5	6.143	0.557	A
183	4514	5	6.131	0.559	A
184	4513	5	6.115	0.560	A
185	4522	5	6.100	0.564	A
186	4548	5	6.091	0.562	A
187	4557	5	6.078	0.563	A
188	4530	5	6.065	0.564	A
189	4581	5	6.049	0.566	A
190	4533	5	6.038	0.567	A
191	4565	5	6.020	0.566	A
192	4550	5	6.006	0.566	A
193	4559	5	5.995	0.567	A
